,Acessa internet do microcomputador,Para acessar à Internet utiliza-se tablet,Para acessar à Internet utiliza-se telefone celular,Para acessar à Internet utiliza-se tv,Rendimento mensal domiciliar per capita,Tem Tablet,Tem microcomputador,Tem telefone móvel celular,Tem televisão por assinatura
3,2.0,4.0,2.0,4.0,793.0,4.0,1.0,2.0,3.0
5,2.0,4.0,4.0,4.0,1990.0,4.0,1.0,4.0,3.0
8,2.0,4.0,2.0,4.0,818.0,4.0,1.0,2.0,3.0
10,2.0,4.0,2.0,4.0,1716.0,4.0,1.0,2.0,1.0
11,2.0,4.0,2.0,4.0,2500.0,4.0,1.0,2.0,3.0
13,2.0,4.0,2.0,4.0,1400.0,4.0,1.0,2.0,3.0
15,2.0,4.0,2.0,4.0,666.0,4.0,1.0,2.0,3.0
17,4.0,2.0,2.0,4.0,750.0,2.0,3.0,2.0,3.0
18,2.0,4.0,2.0,4.0,1437.0,4.0,1.0,2.0,1.0
19,2.0,4.0,4.0,4.0,600.0,4.0,1.0,2.0,3.0
20,2.0,4.0,2.0,4.0,933.0,4.0,1.0,2.0,3.0
23,4.0,4.0,2.0,4.0,2666.0,4.0,3.0,2.0,3.0
27,2.0,4.0,2.0,4.0,3325.0,4.0,1.0,2.0,1.0
28,2.0,4.0,2.0,4.0,3500.0,4.0,1.0,2.0,1.0
29,2.0,4.0,2.0,4.0,1172.0,4.0,1.0,2.0,3.0
31,2.0,2.0,2.0,4.0,3000.0,2.0,1.0,2.0,3.0
32,2.0,4.0,4.0,4.0,366.0,2.0,1.0,2.0,3.0
33,2.0,4.0,4.0,4.0,175.0,4.0,1.0,2.0,3.0
37,2.0,4.0,2.0,4.0,596.0,4.0,1.0,2.0,3.0
39,2.0,2.0,2.0,4.0,196.0,2.0,1.0,2.0,3.0
42,2.0,4.0,4.0,4.0,975.0,4.0,1.0,2.0,3.0
43,2.0,4.0,4.0,4.0,850.0,4.0,1.0,2.0,3.0
44,2.0,4.0,2.0,4.0,2000.0,4.0,1.0,2.0,3.0
45,2.0,4.0,4.0,4.0,480.0,4.0,1.0,2.0,3.0
50,2.0,4.0,2.0,4.0,666.0,4.0,1.0,2.0,3.0
54,4.0,4.0,2.0,4.0,2100.0,4.0,3.0,2.0,3.0
